AccessionNumber,Species
VC_A0140,V. cholerae
TXZ33925.1,V. cholerae
GHW66171.1,V. cholerae
HAS4571358.1,V. cholerae
WP_304572945.1,V. metoecus
EGU19621.1,V. mimicus
EKO3984585.1,V. fluvialis
MBY7795437.1,V. fluvialis
EKO3966906.1,V. fluvialis
MBY8230713.1,V. fluvialis
WP_237304509.1,Vibrio sp.
WP_045396325.1,V. hyugaensis
OEE74289.1,V. ordalii
WP_198926735.1,V. ordalii
NAX43402.1,Vibrio sp.
WP_065612261.1,A. logei
WP_265686903.1,V. paucivorans
WP_176429027.1,Vibrio sp.
WP_252033604.1,Vibrio sp.
WP_061009122.1,Vibrio sp.
GAA5644929.1,V. proteolyticus
WP_143679863.1,V. furnissii
WP_156008740.1,V. proteolyticus
OEE43498.1,V. anguillarum
HDM8062959.1,V. harveyi
WP_199485469.1,V. anguillarum
EHV5558441.1,V. parahaemolyticus
MCE7631139.1,V. fluvialis
CAH1228621.1,V. harveyi
